yyyymmdd,AAL
20070103,56.3
20070104,58.84
20070105,58.29
20070108,57.93
20070109,57.9
20070110,58.93
20070111,61.2
20070112,60.81
20070116,61.96
20070117,58.65
20070118,57.83
20070119,58.29
20070122,57.03
20070123,53.27
20070124,53.35
20070125,53.86
20070126,52.13
20070129,54.43
20070130,53.1
20070131,55.98
20070201,57.99
20070202,57.98
20070205,58.41
20070206,58.31
20070207,58.08
20070208,59.31
20070209,58.14
20070212,58.88
20070213,59.17
20070214,57.79
20070215,57.4
20070216,56.7
20070220,56.38
20070221,55.73
20070222,54.62
20070223,54.25
20070226,53.34
20070227,51.79
20070228,52.29
20070301,52.08
20070302,50.65
20070305,50.09
20070306,50.23
20070307,49.35
20070308,49.31
20070309,48.93
20070312,49.45
20070313,47.44
20070314,45.78
20070315,46.54
20070316,46.39
20070319,47.86
20070320,48.53
20070321,49.41
20070322,47.9
20070323,47.58
20070326,46.72
20070327,46.71
20070328,46.41
20070329,45.53
20070330,45.48
20070402,45.05
20070403,47.87
20070404,46.49
20070405,47.05
20070409,47.81
20070410,45.84
20070411,45.01
20070412,44.12
20070413,45.23
20070416,45.34
20070417,45.95
20070418,46.98
20070419,45.42
20070420,45.31
20070423,43.21
20070424,42.77
20070425,42.65
20070426,39.33
20070427,37.18
20070430,36.94
20070501,37.06
20070502,36.18
20070503,35.55
20070504,36.15
20070507,35.11
20070508,34.4
20070509,34.34
20070510,33.28
20070511,33.36
20070514,33.53
20070515,32.45
20070516,32.98
20070517,33.27
20070518,33.48
20070521,33.01
20070522,34.77
20070523,34.95
20070524,35.13
20070525,34.25
20070529,35.6
20070530,35.66
20070531,35.65
20070601,35.25
20070604,33.95
20070605,33.53
20070606,32.63
20070607,30.2
20070608,30.89
20070611,29.66
20070612,29.19
20070613,28.72
20070614,28.8
20070615,27.61
20070618,27.29
20070619,29.14
20070620,29.71
20070621,29.5
20070622,29.34
20070625,29.24
20070626,28.26
20070627,29.67
20070628,31.0
20070629,30.27
20070702,30.7
20070703,32.86
20070705,33.82
20070706,34.62
20070709,35.86
20070710,33.83
20070711,34.73
20070712,34.93
20070713,34.1
20070716,34.96
20070717,35.3
20070718,34.91
20070719,36.0
20070720,34.71
